Adjusted Begin Time - ss.msec	Adjusted End Time - ss.msec	Begin Time - ss.msec	End Time - ss.msec	Infant Vocalization	Adult Utterance Direction
0.2	1.15	4976.2	4977.15	X	
2.123	3.045	4978.123	4979.045		N
3.207	4.921	4979.207	4980.921		N
7.06	7.78	4983.06	4983.78	X	
7.323	7.771	4983.323	4983.771		T
8.404	9.092	4984.404	4985.092		T
9.165	9.455	4985.165	4985.455	C	
9.454	10.006	4985.454	4986.006		T
11.41	11.972	4987.41	4987.972		T
12.439	12.99	4988.439	4988.99		T
13.025	14.084	4989.025	4990.084		T
20.11	20.95	4996.11	4996.95	C	
41.288	43.318	5017.288	5019.318		U
44.058	45.963	5020.058	5021.963		U
48.04	49.36	5024.04	5025.36	C	
57.566	57.738	5033.566	5033.738		U
61.39	62.87	5037.39	5038.87	C	
62.87	63.085	5038.87	5039.085	X	
63.17	64.45	5039.17	5040.45	X	
66.62	69.22	5042.62	5045.22	R	
69.76	70.97	5045.76	5046.97	R	
72.81	73.81	5048.81	5049.81	R	
83.06	83.53	5059.06	5059.53	C	
84.96	85.69	5060.96	5061.69	C	
87.94	89.22	5063.94	5065.22	C	
91.56	91.57	5067.56	5067.57	C	
91.57	91.81	5067.57	5067.81	C	
92.31	92.57	5068.31	5068.57	C	
93.03	93.4	5069.03	5069.4	C	
94.3	95.53	5070.3	5071.53	C	
95.885	96.75	5071.885	5072.75	C	
99.2	99.5	5075.2	5075.5	X	
102.05	102.43	5078.05	5078.43	X	
102.98	103.91	5078.98	5079.91	C	
120.18	121.67	5096.18	5097.67	C	
124.61	125.43	5100.61	5101.43	X	
132.57	132.81	5108.57	5108.81	X	
164.35	165.48	5140.35	5141.48	X	
165.48	165.73	5141.48	5141.73	X	
165.845	167.315	5141.845	5143.315	R	
176.315	176.975	5152.315	5152.975	X	
177.345	178.385	5153.345	5154.385	X	
181.78	182.81	5157.78	5158.81	X	
184.84	185.85	5160.84	5161.85	R	
189.487	189.99	5165.487	5165.99		N
190.215	190.683	5166.215	5166.683		N
192.388	193.926	5168.388	5169.926		N
195.1	196.502	5171.1	5172.502		U
198.19	198.85	5174.19	5174.85	C	
210.055	211.345	5186.055	5187.345	X	
211.685	212.685	5187.685	5188.685	X	
213.05	214.24	5189.05	5190.24	X	
215.03	215.5	5191.03	5191.5	X	
215.81	217.5	5191.81	5193.5	X	
217.95	219.57	5193.95	5195.57	X	
221.57	222.43	5197.57	5198.43	C	
234.314	235.332	5210.314	5211.332		U
235.663	236.385	5211.663	5212.385		U
246.082	246.461	5222.082	5222.461		U
264.27	264.53	5240.27	5240.53	X	
265.65	266.18	5241.65	5242.18	V	
266.36	266.86	5242.36	5242.86	X	
267.21	267.92	5243.21	5243.92	V	
268.49	270.59	5244.49	5246.59	X	
272.66	276.54	5248.66	5252.54	R	
283.08	286.18	5259.08	5262.18	R	
